,Property_type,Areas,Price in Lakhs,Bathrooms,Face,Square Feet,Status,Bedrooms
763,Residential Plot,Edupugallu,51.8,0,East,"2,055 / sq ft",New,0
764,Residential Plot,Edupugallu,42.92,0,Unknown,"2,055 / sq ft",New,0
765,Residential Plot,Edupugallu,33.85,0,East,"2,055 / sq ft",New,0
766,Residential Plot,Edupugallu,37.37,0,Unknown,"2,055 / sq ft",New,0
767,Residential Plot,Edupugallu,71.59,0,Unknown,"3,842 / sq ft",New,0
768,Residential Plot,Gudavalli,25.75,0,Unknown,"15,900 / sq ft",New,0
769,Residential Plot,Edupugallu,33.48,0,West,"2,000 / sq ft",New,0
770,Residential Plot,Edupugallu,35.89,0,Unknown,"2,045 / sq ft",New,0
771,Residential Plot,Gudavalli,31.51,0,SouthWest,"1,833 / sq ft",New,0
772,Residential Plot,Edupugallu,37.98,0,Unknown,"2,000 / sq ft",New,0
773,Residential Plot,Edupugallu,34.92,0,West,"2,000 / sq ft",New,0
774,Residential Plot,Benz Circle,33.85,0,East,"2,055 / sq ft",New,0
775,Residential Plot,Benz Circle,42.84,0,Unknown,"2,000 / sq ft",New,0
776,Residential Plot,Gosala,16.33,0,West,"1,524 / sq ft",New,0
777,Residential Plot,Gosala,16.33,0,NorthWest,"1,277 / sq ft",New,0
778,Residential Plot,Gosala,16.33,0,NorthWest,"1,277 / sq ft",New,0
779,Residential Plot,Gosala,20.47,0,NorthWest,"7,336 / sq ft",New,0
780,Residential Plot,Gosala,16.33,0,West,"1,277 / sq ft",New,0
781,Residential Plot,Gosala,21.36,0,East,"1,333 / sq ft",New,0
782,Residential Plot,Gosala,17.04,0,East,"1,333 / sq ft",New,0
783,Residential Plot,Gosala,21.36,0,Unknown,"1,333 / sq ft",New,0
784,Residential Plot,Gosala,19.56,0,East,"1,341 / sq ft",New,0
785,Residential Plot,Gosala,21.36,0,Unknown,"1,333 / sq ft",New,0
786,Residential Plot,Gosala,15.98,0,West,"1,277 / sq ft",New,0
787,Residential Plot,Gosala,16.1,0,West,"1,277 / sq ft",New,0
788,Residential Plot,Gosala,170.0,0,East,"13,333 / sq ft",New,0
789,Residential Plot,Gosala,20.04,0,Unknown,"1,333 / sq ft",New,0
790,Residential Plot,Gosala,19.44,0,Unknown,"1,333 / sq ft",New,0
791,Residential Plot,Edupugallu,23.64,0,East,"1,333 / sq ft",New,0
792,Residential Plot,Edupugallu,22.32,0,Unknown,"1,333 / sq ft",New,0
793,Residential Plot,Edupugallu,32.4,0,East,"1,333 / sq ft",New,0
794,Residential Plot,Gosala,17.04,0,Unknown,"1,333 / sq ft",New,0
795,Residential Plot,Edupugallu,19.2,0,West,"1,333 / sq ft",New,0
796,Residential Plot,Gudavalli,33.85,0,East,"2,055 / sq ft",New,0
797,Residential Plot,Edupugallu,108.0,0,East,"1,333 / sq ft",New,0
798,Residential Plot,Edupugallu,163.0,0,East,"1,333 / sq ft",New,0
799,Residential Plot,Gudavalli,32.94,0,West,"2,000 / sq ft",New,0
800,Residential Plot,Edupugallu,26.88,0,West,"1,333 / sq ft",New,0
801,Residential Plot,Edupugallu,27.12,0,West,"1,132 / sq ft",New,0
802,Residential Plot,Edupugallu,26.22,0,West,"1,277 / sq ft",New,0
803,Residential Plot,Edupugallu,244.0,0,Unknown,"2,000 / sq ft",New,0
